name,unique_exits,total_exits,exit_rate
/,33,34,64.0
/wissen/artikel/gpke-geschaeftsprozesse,11,11,91.0
/app/login,8,8,44.0
/wissen/lokationsbuendel-im-deutschen-energiemarkt-struktur-funktion-und-anwendung,7,7,70.0
/wissen/gpke-geschaeftsprozesse-und-marktkommunikation-im-deutschen-strommarkt,6,6,54.0
/wissen/artikel/makomabishub,6,6,85.0
/glossary/sekundaertechnik,6,6,100.0
/wissen/bilateraler-stammdatenabgleich-fehlerbehebung-und-harmonisierung-in-der-marktkommunikation,5,6,42.0
/wissen/fristen-im-prozess-der-ersatz-und-grundversorgung-gpke,5,5,71.0
/wissen/ersatz-und-grundversorgung-eog-im-strommarkt,4,4,80.0
/wissen/malo-id-ermittlung-via-webapi-im-gpke-basierten-lieferantenwechsel,4,4,100.0
/wissen/artikel/utilmd-stammdaten,4,4,57.0
/wissen/sperr-und-entsperrprozess-ablauf-aus-sicht-des-netzbetreibers-nb,4,4,66.0
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-edifact-basierter-datenaustausch,4,4,66.0
/wissen/artikel/agnes-netzentgeltsystematik,4,4,100.0
/app/message-analyzer,3,3,75.0
/wissen/gpke-statusmeldungen-bedeutung-und-anwendung-im-lieferantenwechsel-und-bei-konfigurationsaenderungen,3,4,57.0
/wissen/lieferantenwechsel-im-strommarkt-rechtliche-grundlagen-und-gpke-prozesse-fuer-energiefachkraefte,3,3,37.0
/whitepaper/mabis-hub,3,3,50.0
/wissen/utilmd-mscons-validierung-von-messwerten-im-deutschen-energiemarkt,3,3,37.0
/wissen/intelligente-messsysteme-imsys-in-der-marktkommunikation-prozesse-sicherheit-und-rollout,3,3,100.0
/wissen/mehr-mindermengenabrechnung-im-strommarkt-ausgleichsenergie-bilanzkreise-und-prozesse,3,3,100.0
/data/codeliste-obis-kennzahlen-medien-2-5b-20240125/Codeliste-OBIS-Kennzahlen_Medien_2_5b_20240125.pdf,3,3,100.0
/wissen/24h-lieferantenwechsel-ein-leitfaden-fuer-die-erfolgreiche-umsetzung,3,3,100.0
/wissen/faq-fehler-z17-zustaendigkeitsfehler-bei-markt-messlokationszuordnung-in-der-energiemarktkommunikation,3,3,100.0
