name,visitors,pageviews,bounce_rate,time_on_page
/,46,53,86,23.0
/app/login,14,18,50,18.0
/wissen/artikel/gpke-geschaeftsprozesse,12,12,91,73.0
/wissen,9,15,0,38.0
/app,8,11,33,6.0
/wissen/artikel,8,8,0,36.0
/wissen/gpke-geschaeftsprozesse-und-marktkommunikation-im-deutschen-strommarkt,8,11,57,325.0
/wissen/lokationsbuendel-im-deutschen-energiemarkt-struktur-funktion-und-anwendung,8,10,62,985.0
/app/chat,7,13,0,15.0
/wissen/artikel/makomabishub,7,7,86,29.0
/wissen/bilateraler-stammdatenabgleich-fehlerbehebung-und-harmonisierung-in-der-marktkommunikation,7,14,43,112.0
/wissen/fristen-im-prozess-der-ersatz-und-grundversorgung-gpke,7,7,83,204.0
/glossary/sekundaertechnik,6,6,100,
/screenshot-analysis,6,7,0,103.0
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-edifact-basierter-datenaustausch,6,6,100,147.0
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-zusammenspiel-von-nb-msb-und-lf,6,8,100,178.0
/wissen/artikel/utilmd-stammdaten,6,7,75,122.0
/wissen/lieferantenwechsel-im-strommarkt-rechtliche-grundlagen-und-gpke-prozesse-fuer-energiefachkraefte,6,8,67,176.0
/wissen/utilmd-der-standard-fuer-stammdatenaustausch-im-deutschen-energiemarkt,6,7,50,128.0
/wissen/utilmd-mscons-validierung-von-messwerten-im-deutschen-energiemarkt,6,8,50,413.0
/impressum,5,5,0,40.0
/mcp-service,5,5,100,328.0
/whitepaper/mabis-hub,5,6,75,128.0
/wissen/ersatz-und-grundversorgung-eog-im-strommarkt,5,5,80,514.0
/wissen/sperr-und-entsperrprozess-ablauf-aus-sicht-des-netzbetreibers-nb,5,6,80,1613.0
/app/message-analyzer,4,4,100,128.0
/beratung,4,4,,6.0
/data/codeliste-obis-kennzahlen-medien-2-5b-20240125,4,4,25,22.0
/wissen/artikel/agnes-netzentgeltsystematik,4,4,100,
/wissen/gpke-statusmeldungen-bedeutung-und-anwendung-im-lieferantenwechsel-und-bei-konfigurationsaenderungen,4,7,60,21.0
/wissen/malo-id-ermittlung-via-webapi-im-gpke-basierten-lieferantenwechsel,4,4,100,
/app/register,3,6,0,502.0
/chat/0e98c0a6-ba1e-4cf2-bda0-e526a6a71d81,3,5,0,300.0
/data,3,3,,5.0
