date,visitors,pageviews,visits,views_per_visit,bounce_rate,visit_duration
2025-11-09 00:00:00,1,5,1,5.0,0,1281
2025-11-09 01:00:00,0,0,0,0.0,,
2025-11-09 02:00:00,0,0,0,0.0,,
2025-11-09 03:00:00,0,0,0,0.0,,
2025-11-09 04:00:00,0,0,0,0.0,,
2025-11-09 05:00:00,1,1,1,1.0,100,0
2025-11-09 06:00:00,0,0,0,0.0,,
2025-11-09 07:00:00,0,0,0,0.0,,
2025-11-09 08:00:00,0,0,0,0.0,,
2025-11-09 09:00:00,0,0,0,0.0,,
2025-11-09 10:00:00,1,1,1,1.0,100,0
2025-11-09 11:00:00,1,1,1,1.0,100,0
2025-11-09 12:00:00,1,1,1,1.0,100,0
2025-11-09 13:00:00,1,1,1,1.0,100,0
2025-11-09 14:00:00,3,5,4,1.25,75,0
2025-11-09 15:00:00,0,0,0,0.0,,
2025-11-09 16:00:00,0,0,0,0.0,,
2025-11-09 17:00:00,1,1,1,1.0,100,0
2025-11-09 18:00:00,0,0,0,0.0,,
2025-11-09 19:00:00,1,1,1,1.0,100,0
2025-11-09 20:00:00,0,0,0,0.0,,
2025-11-09 21:00:00,1,1,1,1.0,100,0
2025-11-09 22:00:00,1,1,1,1.0,100,0
2025-11-09 23:00:00,2,3,1,1.0,100,0
2025-11-10 00:00:00,1,1,1,3.0,0,722
2025-11-10 01:00:00,1,3,1,3.0,0,15
2025-11-10 02:00:00,0,0,0,0.0,,
2025-11-10 03:00:00,0,0,0,0.0,,
2025-11-10 04:00:00,0,0,0,0.0,,
2025-11-10 05:00:00,1,1,1,1.0,100,0
2025-11-10 06:00:00,0,0,0,0.0,,
2025-11-10 07:00:00,3,8,3,2.67,67,4
2025-11-10 08:00:00,2,5,2,2.5,50,809
2025-11-10 09:00:00,3,5,3,1.67,67,3
2025-11-10 10:00:00,4,4,4,1.0,100,0
2025-11-10 11:00:00,8,20,7,1.43,86,67
2025-11-10 12:00:00,5,10,5,4.0,60,374
2025-11-10 13:00:00,2,2,2,1.0,100,0
2025-11-10 14:00:00,1,1,1,1.0,100,0
2025-11-10 15:00:00,1,2,1,2.0,0,257
2025-11-10 16:00:00,0,0,0,0.0,,
2025-11-10 17:00:00,3,5,3,1.67,67,114
2025-11-10 18:00:00,2,12,2,6.0,50,147
2025-11-10 19:00:00,0,0,0,0.0,,
2025-11-10 20:00:00,1,1,1,1.0,100,0
2025-11-10 21:00:00,1,1,1,1.0,100,0
2025-11-10 22:00:00,3,18,3,6.0,33,178
2025-11-10 23:00:00,1,1,1,1.0,100,0
2025-11-11 00:00:00,0,0,0,0.0,,
2025-11-11 01:00:00,0,0,0,0.0,,
2025-11-11 02:00:00,1,3,1,3.0,0,330
2025-11-11 03:00:00,0,0,0,0.0,,
2025-11-11 04:00:00,0,0,0,0.0,,
2025-11-11 05:00:00,1,1,1,1.0,100,0
2025-11-11 06:00:00,0,0,0,0.0,,
2025-11-11 07:00:00,2,2,2,1.0,100,0
2025-11-11 08:00:00,5,5,4,1.0,100,0
2025-11-11 09:00:00,4,23,4,6.0,0,766
2025-11-11 10:00:00,9,27,9,3.0,67,151
2025-11-11 11:00:00,6,13,6,2.17,67,42
2025-11-11 12:00:00,3,5,3,1.67,67,71
2025-11-11 13:00:00,5,13,5,2.6,60,31
2025-11-11 14:00:00,5,7,5,1.4,60,12
2025-11-11 15:00:00,1,8,1,8.0,0,472
2025-11-11 16:00:00,3,5,3,1.67,67,71
2025-11-11 17:00:00,4,11,4,2.75,50,83
2025-11-11 18:00:00,0,0,0,0.0,,
2025-11-11 19:00:00,0,0,0,0.0,,
2025-11-11 20:00:00,0,0,0,0.0,,
2025-11-11 21:00:00,0,0,0,0.0,,
2025-11-11 22:00:00,0,0,0,0.0,,
2025-11-11 23:00:00,1,1,1,1.0,100,0
2025-11-12 00:00:00,1,1,1,1.0,100,0
2025-11-12 01:00:00,0,0,0,0.0,,
2025-11-12 02:00:00,2,2,2,1.0,100,0
2025-11-12 03:00:00,0,0,0,0.0,,
2025-11-12 04:00:00,0,0,0,0.0,,
2025-11-12 05:00:00,1,1,1,1.0,100,0
2025-11-12 06:00:00,0,0,0,0.0,,
2025-11-12 07:00:00,0,0,0,0.0,,
2025-11-12 08:00:00,5,7,5,1.4,80,48
2025-11-12 09:00:00,1,1,1,1.0,100,0
2025-11-12 10:00:00,5,5,5,1.0,100,0
2025-11-12 11:00:00,3,7,4,1.75,75,3
2025-11-12 12:00:00,2,11,2,5.5,50,367
2025-11-12 13:00:00,4,4,4,1.0,100,0
2025-11-12 14:00:00,4,4,4,1.0,100,0
2025-11-12 15:00:00,4,4,4,1.0,100,0
2025-11-12 16:00:00,6,15,6,2.5,50,29
2025-11-12 17:00:00,3,6,3,2.0,67,16
2025-11-12 18:00:00,1,1,1,1.0,100,0
2025-11-12 19:00:00,0,0,0,0.0,,
2025-11-12 20:00:00,1,1,1,1.0,100,0
2025-11-12 21:00:00,2,2,2,1.0,100,0
2025-11-12 22:00:00,1,1,1,1.0,100,0
2025-11-12 23:00:00,5,5,5,1.0,100,0
2025-11-13 00:00:00,0,0,0,0.0,,
2025-11-13 01:00:00,0,0,0,0.0,,
2025-11-13 02:00:00,0,0,0,0.0,,
2025-11-13 03:00:00,0,0,0,0.0,,
2025-11-13 04:00:00,0,0,0,0.0,,
2025-11-13 05:00:00,2,2,2,1.0,100,0
2025-11-13 06:00:00,0,0,0,0.0,,
2025-11-13 07:00:00,3,14,3,4.67,67,539
2025-11-13 08:00:00,2,3,2,1.5,50,10
2025-11-13 09:00:00,6,7,6,1.17,83,297
2025-11-13 10:00:00,4,5,4,1.25,75,2
2025-11-13 11:00:00,5,5,5,1.0,100,0
2025-11-13 12:00:00,1,7,1,7.0,0,2463
2025-11-13 13:00:00,2,4,2,2.0,50,187
2025-11-13 14:00:00,6,14,6,2.33,67,47
2025-11-13 15:00:00,3,3,3,1.0,100,0
2025-11-13 16:00:00,3,3,3,1.0,100,0
2025-11-13 17:00:00,4,4,4,1.0,100,0
2025-11-13 18:00:00,1,2,1,2.0,0,1389
2025-11-13 19:00:00,4,4,4,1.0,100,0
2025-11-13 20:00:00,0,0,0,0.0,,
2025-11-13 21:00:00,1,8,1,8.0,0,135
2025-11-13 22:00:00,1,1,1,1.0,100,0
2025-11-13 23:00:00,1,1,1,1.0,100,0
2025-11-14 00:00:00,0,0,0,0.0,,
2025-11-14 01:00:00,0,0,0,0.0,,
2025-11-14 02:00:00,0,0,0,0.0,,
2025-11-14 03:00:00,0,0,0,0.0,,
2025-11-14 04:00:00,0,0,0,0.0,,
2025-11-14 05:00:00,1,1,1,1.0,100,0
2025-11-14 06:00:00,0,0,0,0.0,,
2025-11-14 07:00:00,2,2,2,1.0,100,0
2025-11-14 08:00:00,3,5,3,1.67,67,17
2025-11-14 09:00:00,5,12,5,2.4,80,15
2025-11-14 10:00:00,3,3,3,1.0,100,0
2025-11-14 11:00:00,2,2,2,1.0,100,0
2025-11-14 12:00:00,1,1,1,1.0,100,0
2025-11-14 13:00:00,5,5,5,1.0,100,0
2025-11-14 14:00:00,3,7,3,1.67,33,180
2025-11-14 15:00:00,2,5,2,2.5,50,163
2025-11-14 16:00:00,2,2,2,1.0,100,0
2025-11-14 17:00:00,5,8,5,1.6,60,32
2025-11-14 18:00:00,1,1,1,1.0,100,0
2025-11-14 19:00:00,1,2,1,2.0,0,281
2025-11-14 20:00:00,0,0,0,0.0,,
2025-11-14 21:00:00,0,0,0,0.0,,
2025-11-14 22:00:00,2,3,2,1.5,50,12
2025-11-14 23:00:00,1,1,1,1.0,100,0
2025-11-15 00:00:00,0,0,0,0.0,,
