Land,Klicks,Impressionen,CTR,Position
Deutschland,103,2783,3.7%,8.75
Niederlande,2,21,9.52%,6.14
Frankreich,1,36,2.78%,5.61
USA,0,242,0%,6.43
Österreich,0,31,0%,6.77
Polen,0,25,0%,5.12
Vereinigtes Königreich,0,20,0%,5.75
Italien,0,18,0%,5.94
Spanien,0,17,0%,4.12
Schweiz,0,17,0%,21.41
Rumänien,0,11,0%,5.09
Brasilien,0,11,0%,24.27
Türkei,0,10,0%,5.4
Belgien,0,6,0%,4.83
Philippinen,0,6,0%,17.33
Schweden,0,5,0%,5.6
Ukraine,0,4,0%,5.75
Russland,0,4,0%,6.5
Kanada,0,4,0%,8.5
Argentinien,0,4,0%,52.75
Saudi-Arabien,0,3,0%,4
Indien,0,3,0%,4.33
Mexiko,0,3,0%,17
Vietnam,0,3,0%,17
Kolumbien,0,3,0%,20
Thailand,0,3,0%,24
Pakistan,0,3,0%,27
Indonesien,0,3,0%,37.67
Algerien,0,2,0%,3.5
Taiwan,0,2,0%,5.5
Japan,0,2,0%,6
Serbien,0,2,0%,6
Andorra,0,2,0%,7
Südkorea,0,2,0%,7
Iran,0,2,0%,8
Dänemark,0,2,0%,9.5
Israel,0,2,0%,12
Palästina,0,2,0%,17.5
Ecuador,0,2,0%,21
Kroatien,0,1,0%,1
Kuwait,0,1,0%,1
Monaco,0,1,0%,1
Tansania,0,1,0%,1
Mali,0,1,0%,3
Ägypten,0,1,0%,4
Guyana,0,1,0%,4
Vereinigte Arabische Emirate,0,1,0%,5
Norwegen,0,1,0%,5
Slowakei,0,1,0%,5
Mazedonien,0,1,0%,6
Südafrika,0,1,0%,6
Bolivien,0,1,0%,7
Finnland,0,1,0%,7
Kasachstan,0,1,0%,7
Mosambik,0,1,0%,7
Griechenland,0,1,0%,8
Ungarn,0,1,0%,8
Jamaika,0,1,0%,8
Luxemburg,0,1,0%,8
Malaysia,0,1,0%,9
Albanien,0,1,0%,11
Usbekistan,0,1,0%,11
Kenia,0,1,0%,14
Chile,0,1,0%,26
Peru,0,1,0%,42
Katar,0,1,0%,42
Bangladesch,0,1,0%,50
Irak,0,1,0%,73
