name,unique_entrances,total_entrances,visit_duration
/,42,47,204
/wissen/sperr-und-entsperrprozess-ablauf-aus-sicht-des-netzbetreibers-nb,7,7,166
/app/login,7,7,360
/wissen/lokationsbuendel-im-deutschen-energiemarkt-struktur-funktion-und-anwendung,7,7,0
/wissen/utilmd-und-mscons-detailliertes-zusammenspiel-in-der-marktkommunikation,7,7,105
/wissen/netzanschluss-entsperrung-beim-lieferantenwechsel-prozesse-marktrollen-und-technische-details,5,5,61
/wissen/remadv-im-energiemarkt-strukturierte-zahlungsavis-fuer-reibungslose-prozesse,5,5,0
/wissen/malo-id-ermittlung-via-webapi-im-gpke-basierten-lieferantenwechsel,5,5,74
/wissen/datenaustausch-in-der-marktkommunikation-lieferanten-und-netzbetreiber,4,4,14
/wissen/marktkommunikation-fuer-stromlieferanten-prozesse-standards-und-herausforderungen,4,4,62
/wissen/lieferantenwechsel-im-strommarkt-rechtliche-grundlagen-und-gpke-prozesse-fuer-energiefachkraefte,4,4,146
/wissen/utilmd-mscons-validierung-von-messwerten-im-deutschen-energiemarkt,4,4,10
/wissen,3,4,23
/wissen/intelligente-messsysteme-imsys-in-der-marktkommunikation-prozesse-sicherheit-und-rollout,3,3,46
/wissen/gpke-geschaeftsprozesse-und-marktkommunikation-im-deutschen-strommarkt,3,3,0
/wissen/fristen-im-prozess-der-ersatz-und-grundversorgung-gpke,3,3,10
/wissen/ersatz-und-grundversorgung-eog-im-strommarkt,3,3,0
/wissen/artikel/makomabishub,3,3,574
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-edifact-basierter-datenaustausch,3,3,188
/wissen/utilmd-der-standard-fuer-stammdatenaustausch-im-deutschen-energiemarkt,3,3,0
/karriere,3,3,0
/wissen/artikel/prozessatlas-meter-2-cash-infografik,3,3,13
/glossary/sekundaertechnik,2,2,0
/wissen/messwerte-im-energiemarkt-verantwortlichkeiten-prozesse-und-rechtliche-grundlagen,2,2,0
/wissen/partin-nachricht-stammdatenmanagement-im-deutschen-energiemarkt,2,2,0
/wissen/14a-enwg-netzorientierte-steuerung-von-verbrauchseinrichtungen-in-der-marktkommunikation,2,2,13
/app/chat,2,2,10
/app/admin,2,2,24
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-zusammenspiel-von-nb-msb-und-lf,2,2,140
/posts/wichtige-information-neue-rate-limits-für-den-grünstromindex,2,2,0
/wissen/sperrung-und-entsperrung-von-netzanschluessen-verantwortlichkeiten-von-nb-und-msb,2,2,1345
/wissen/thema/marktkommunikation,2,3,33
/wissen/artikel/imsys-rollout-prozess,2,2,91
/posts/lobby_openems_association,1,1,0
/glossary/ortsnetzstation,1,1,0
/glossary/arbeitspreis,1,1,0
/whitepaper,1,1,3
/whitepaper/vergessene_liberalisierung,1,1,64
/wissen/thema/edifact,1,1,19
/egefragt/mpes,1,1,0
/tags/solarpaket-i,1,1,0
/wissen/artikel/digitale-infrastrukturen-energiewende,1,1,0
/app/chat/03bf23a8-debf-4a2b-8356-7b92036653a2,1,1,134
/wissen/artikel/m2c-stammdaten,1,1,0
/egefragt/verbrauchseinrichtungen,1,1,0
/wissen/gpke-fristen-im-lieferantenwechsel,1,1,26
/chat/a76ddd4b-3651-4b19-a024-b458ffe00e48,1,1,1287
/wissen/rueckwirkende-vertragsaufloesung-in-der-grundversorgung-prozesse-fristen-und-ausnahmen,1,1,0
/tags/energiewende,1,1,0
/chat/fbfa3c1d-5bc5-43c1-adbf-529a9ca298d3,1,1,0
/tags/demokratie,1,1,0
/app/workspace,1,3,2855
/wissen/utilmd-bgm-z-codes-geschaeftsprozesse-im-detail,1,1,0
/daten-atlas/datenelemente/dtm-00-formatkennzeichen-fur-datum-uhrzeit,1,1,0
/daten-atlas/datenelemente/cta-0150-ansprechpartner-einspeiseprozesse,1,1,0
/wissen/thema/partin,1,1,0
/wissen/thema/remadv,1,1,0
/daten-atlas/datenelemente/s002-0007-teilnehmerbezeichnung-qualifier,1,1,0
/wissen/artikel,1,1,0
/screenshot-analysis,1,1,0
/app/code-lookup,1,1,1577
/wissen/stellensuche-in-der-marktkommunikation-wo-und-wie-finde-ich-jobs-in-der-energiewirtschaft,1,1,289
/daten-atlas/datenelemente/comdis-nr-bez,1,1,104
/mcp-service,1,2,2
/wissen/sperrauftrag-bei-lieferantenwechsel-gpke-behandlung-und-fristen,1,1,0
/wissen/gpke-statusmeldungen-bedeutung-und-anwendung-im-lieferantenwechsel-und-bei-konfigurationsaenderungen,1,1,0
/wissen/thema/gpke,1,1,12
/daten-atlas/visualisierungen/ebd-g-0085,1,1,0
/wissen/bilateraler-stammdatenabgleich-fehlerbehebung-und-harmonisierung-in-der-marktkommunikation,1,1,0
