name,unique_exits,total_exits,exit_rate
/,36,39,53.0
/wissen/lokationsbuendel-im-deutschen-energiemarkt-struktur-funktion-und-anwendung,7,7,87.0
/wissen/sperr-und-entsperrprozess-ablauf-aus-sicht-des-netzbetreibers-nb,7,7,53.0
/wissen/lieferantenwechsel-im-strommarkt-rechtliche-grundlagen-und-gpke-prozesse-fuer-energiefachkraefte,6,6,54.0
/wissen/utilmd-und-mscons-detailliertes-zusammenspiel-in-der-marktkommunikation,6,6,75.0
/wissen,5,5,31.0
/mcp-service,5,5,45.0
/wissen/remadv-im-energiemarkt-strukturierte-zahlungsavis-fuer-reibungslose-prozesse,5,5,83.0
/app/admin,4,4,40.0
/wissen/utilmd-der-standard-fuer-stammdatenaustausch-im-deutschen-energiemarkt,4,4,66.0
/wissen/utilmd-mscons-validierung-von-messwerten-im-deutschen-energiemarkt,4,4,57.0
/wissen/malo-id-ermittlung-via-webapi-im-gpke-basierten-lieferantenwechsel,4,4,66.0
/beratung,3,3,50.0
/wissen/datenaustausch-in-der-marktkommunikation-lieferanten-und-netzbetreiber,3,3,60.0
/wissen/intelligente-messsysteme-imsys-in-der-marktkommunikation-prozesse-sicherheit-und-rollout,3,3,60.0
/wissen/gpke-geschaeftsprozesse-und-marktkommunikation-im-deutschen-strommarkt,3,3,75.0
/wissen/netzanschluss-entsperrung-beim-lieferantenwechsel-prozesse-marktrollen-und-technische-details,3,3,50.0
/wissen/ersatz-und-grundversorgung-eog-im-strommarkt,3,3,75.0
/karriere,3,3,42.0
/app/login,3,3,11.0
/wissen/thema/marktkommunikation,3,3,6.0
/whitepaper/prozessatlas-m2c,3,3,100.0
/whitepaper/vergessene_liberalisierung,2,2,66.0
/glossary/sekundaertechnik,2,2,100.0
/wissen/messwerte-im-energiemarkt-verantwortlichkeiten-prozesse-und-rechtliche-grundlagen,2,2,66.0
/wissen/fristen-im-prozess-der-ersatz-und-grundversorgung-gpke,2,2,50.0
/wissen/partin-nachricht-stammdatenmanagement-im-deutschen-energiemarkt,2,2,66.0
/screenshot-analysis,2,2,20.0
/app/code-lookup,2,2,20.0
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-edifact-basierter-datenaustausch,2,2,66.0
/app,2,2,10.0
/wissen/marktkommunikation-fuer-stromlieferanten-prozesse-standards-und-herausforderungen,2,2,40.0
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-zusammenspiel-von-nb-msb-und-lf,2,2,50.0
/posts/wichtige-information-neue-rate-limits-für-den-grünstromindex,2,2,100.0
/wissen/artikel/imsys-rollout-prozess,2,2,50.0
/posts/lobby_openems_association,1,1,100.0
/glossary/ortsnetzstation,1,1,100.0
/glossary/arbeitspreis,1,1,100.0
/whitepaper,1,1,20.0
/wissen/thema/edifact,1,1,50.0
/chat/ebeb791f-2050-41d3-911a-d33bfea5aa25,1,1,100.0
/egefragt/mpes,1,1,100.0
/app/chat/03bf23a8-debf-4a2b-8356-7b92036653a2,1,1,50.0
/app/forgot-password,1,1,100.0
/tags/solarpaket-i,1,1,100.0
/wissen/artikel/digitale-infrastrukturen-energiewende,1,1,100.0
/wissen/artikel/m2c-stammdaten,1,1,100.0
/egefragt/verbrauchseinrichtungen,1,1,100.0
