date,visitors,pageviews,visits,views_per_visit,bounce_rate,visit_duration
2025-11-01 00:00:00,0,0,0,0.0,,
2025-11-01 01:00:00,0,0,0,0.0,,
2025-11-01 02:00:00,0,0,0,0.0,,
2025-11-01 03:00:00,0,0,0,0.0,,
2025-11-01 04:00:00,0,0,0,0.0,,
2025-11-01 05:00:00,1,1,1,1.0,100,0
2025-11-01 06:00:00,0,0,0,0.0,,
2025-11-01 07:00:00,0,0,0,0.0,,
2025-11-01 08:00:00,0,0,0,0.0,,
2025-11-01 09:00:00,0,0,0,0.0,,
2025-11-01 10:00:00,0,0,0,0.0,,
2025-11-01 11:00:00,1,1,1,1.0,100,0
2025-11-01 12:00:00,0,0,0,0.0,,
2025-11-01 13:00:00,0,0,0,0.0,,
2025-11-01 14:00:00,0,0,0,0.0,,
2025-11-01 15:00:00,0,0,0,0.0,,
2025-11-01 16:00:00,0,0,0,0.0,,
2025-11-01 17:00:00,2,2,2,1.0,100,0
2025-11-01 18:00:00,0,0,0,0.0,,
2025-11-01 19:00:00,0,0,0,0.0,,
2025-11-01 20:00:00,1,1,1,1.0,100,0
2025-11-01 21:00:00,1,1,0,0.0,,
2025-11-01 22:00:00,4,29,4,7.5,50,848
2025-11-01 23:00:00,0,0,0,0.0,,
2025-11-02 00:00:00,3,13,4,3.0,0,21
2025-11-02 01:00:00,2,2,2,1.0,100,0
2025-11-02 02:00:00,0,0,0,0.0,,
2025-11-02 03:00:00,0,0,0,0.0,,
2025-11-02 04:00:00,0,0,0,0.0,,
2025-11-02 05:00:00,1,1,1,1.0,100,0
2025-11-02 06:00:00,1,3,1,3.0,0,19
2025-11-02 07:00:00,0,0,0,0.0,,
2025-11-02 08:00:00,0,0,0,0.0,,
2025-11-02 09:00:00,0,0,0,0.0,,
2025-11-02 10:00:00,0,0,0,0.0,,
2025-11-02 11:00:00,1,1,1,1.0,100,0
2025-11-02 12:00:00,0,0,0,0.0,,
2025-11-02 13:00:00,0,0,0,0.0,,
2025-11-02 14:00:00,1,1,1,1.0,100,0
2025-11-02 15:00:00,1,1,1,1.0,100,0
2025-11-02 16:00:00,1,2,1,2.0,0,358
2025-11-02 17:00:00,1,1,1,1.0,100,0
2025-11-02 18:00:00,0,0,0,0.0,,
2025-11-02 19:00:00,1,5,1,5.0,0,9
2025-11-02 20:00:00,0,0,0,0.0,,
2025-11-02 21:00:00,0,0,0,0.0,,
2025-11-02 22:00:00,0,0,0,0.0,,
2025-11-02 23:00:00,1,1,1,1.0,100,0
2025-11-03 00:00:00,0,0,0,0.0,,
2025-11-03 01:00:00,1,1,1,1.0,100,0
2025-11-03 02:00:00,0,0,0,0.0,,
2025-11-03 03:00:00,0,0,0,0.0,,
2025-11-03 04:00:00,0,0,0,0.0,,
2025-11-03 05:00:00,1,1,1,1.0,100,0
2025-11-03 06:00:00,0,0,0,0.0,,
2025-11-03 07:00:00,0,0,0,0.0,,
2025-11-03 08:00:00,5,9,5,1.8,60,49
2025-11-03 09:00:00,2,5,2,2.0,50,30
2025-11-03 10:00:00,3,7,3,2.33,33,493
2025-11-03 11:00:00,1,1,1,1.0,100,0
2025-11-03 12:00:00,0,0,0,0.0,,
2025-11-03 13:00:00,0,0,0,0.0,,
2025-11-03 14:00:00,2,2,2,1.0,100,0
2025-11-03 15:00:00,4,8,4,2.0,75,34
2025-11-03 16:00:00,4,6,4,1.5,50,109
2025-11-03 17:00:00,1,1,1,1.0,100,0
2025-11-03 18:00:00,1,1,1,1.0,100,0
2025-11-03 19:00:00,1,3,1,3.0,0,137
2025-11-03 20:00:00,1,4,1,4.0,0,263
2025-11-03 21:00:00,0,0,0,0.0,,
2025-11-03 22:00:00,0,0,0,0.0,,
2025-11-03 23:00:00,4,7,4,1.75,75,2
2025-11-04 00:00:00,0,0,0,0.0,,
2025-11-04 01:00:00,0,0,0,0.0,,
2025-11-04 02:00:00,0,0,0,0.0,,
2025-11-04 03:00:00,0,0,0,0.0,,
2025-11-04 04:00:00,0,0,0,0.0,,
2025-11-04 05:00:00,2,2,2,1.0,100,0
2025-11-04 06:00:00,0,0,0,0.0,,
2025-11-04 07:00:00,0,0,0,0.0,,
2025-11-04 08:00:00,3,3,3,1.0,100,0
2025-11-04 09:00:00,3,10,3,3.33,33,10
2025-11-04 10:00:00,3,9,3,3.0,33,27
2025-11-04 11:00:00,4,13,4,3.25,75,322
2025-11-04 12:00:00,6,7,6,1.17,83,214
2025-11-04 13:00:00,7,9,7,1.29,71,136
2025-11-04 14:00:00,6,15,6,2.5,83,96
2025-11-04 15:00:00,4,6,4,1.5,75,9
2025-11-04 16:00:00,1,1,1,1.0,100,0
2025-11-04 17:00:00,3,6,3,2.0,33,17
2025-11-04 18:00:00,0,0,0,0.0,,
2025-11-04 19:00:00,0,0,0,0.0,,
2025-11-04 20:00:00,0,0,0,0.0,,
2025-11-04 21:00:00,0,0,0,0.0,,
2025-11-04 22:00:00,3,6,3,2.0,67,194
2025-11-04 23:00:00,2,8,3,2.67,67,14
2025-11-05 00:00:00,2,3,1,1.0,100,0
2025-11-05 01:00:00,1,11,1,13.0,0,4686
2025-11-05 02:00:00,0,0,0,0.0,,
2025-11-05 03:00:00,0,0,0,0.0,,
2025-11-05 04:00:00,0,0,0,0.0,,
2025-11-05 05:00:00,1,1,1,1.0,100,0
2025-11-05 06:00:00,0,0,0,0.0,,
2025-11-05 07:00:00,3,12,3,4.0,67,375
2025-11-05 08:00:00,6,8,6,1.33,67,6
2025-11-05 09:00:00,2,2,2,1.0,100,0
2025-11-05 10:00:00,5,128,5,25.6,40,319
2025-11-05 11:00:00,6,17,6,2.83,83,77
2025-11-05 12:00:00,1,4,1,4.0,0,15
2025-11-05 13:00:00,1,1,1,1.0,100,0
2025-11-05 14:00:00,5,6,5,1.2,80,11
2025-11-05 15:00:00,2,7,2,3.5,50,235
2025-11-05 16:00:00,1,5,1,5.0,0,1577
2025-11-05 17:00:00,3,3,3,1.0,100,0
2025-11-05 18:00:00,3,5,3,1.67,67,96
2025-11-05 19:00:00,0,0,0,0.0,,
2025-11-05 20:00:00,3,14,2,1.5,50,156
