Code,CodeType,CompanyName,Source,ValidFrom,ValidTo,City,PostCode,Email,ContactSheetUrl
9900244000009,BDEW Code,"""Stadtwerke Gronau GmbH""",bdew,,,"Gronau",48599,netznutzung@stadtwerke-gronau.de,
9984356000008,BDEW Code,"""Stadtwerke Haan GmbH""",bdew,,,"Haan",42781,kramer@stadtwerke-haan.de,
9983577000003,BDEW Code,"""Stadtwerke Heide GmbH""",bdew,,,"Heide",25746,Thomas.Nowicki@stadtwerke-heide.de,
9900337000007,BDEW Code,"""Stadtwerke Kempen GmbH""",bdew,,,"Kempen",47906,b.basten@stadtwerke-kempen.de,
9904935000005,BDEW Code,"""Stadtwerke Prenzlau GmbH""",bdew,,,"Prenzlau",17291,info@stadtwerke-prenzlau.de,
9979399000008,BDEW Code,"#NAME?",bdew,,,"Hamburg",20097,h.kraemer@eha.net,
9978012000006,BDEW Code,"1&1 Energy GmbH",bdew,,,"Montabaur",56410,1und1-wm@getec-dam.de,
9977849000007,BDEW Code,"17er Oberlandenergie GmbH",bdew,,,"Murnau a. Staffelsee",82418,marktkommunikation@17er.com,
9979270000002,BDEW Code,"1Heiz Energie GmbH",bdew,,,"Reinbek",21465,Hanno.malinowski@1heiz.de,
9984832000001,BDEW Code,"1KOMMA5° Heartbeat GmbH",bdew,,,"Hamburg",20354,bastian.twilling@1komma5grad.com,
9906422000001,BDEW Code,"24/7 Energie & Kommunikation GmbH",bdew,,,"Heidenheim",89522,lieferant@24-7-online.de,https://www.kaiserenergie.de/images/download/fields/2017_12_20_24-7_Energie__Kommunikation_GmbH_Strom.xlsx
9984496000009,BDEW Code,"24/7 Strom GmbH",bdew,,,"Berlin",10117,bilanzkreismanagement@24-7strom.de,
9979549000006,BDEW Code,"4D-Energy GmbH",bdew,,,"Dresden",1097,s.lucka@4d-energy.de,
9910891000005,BDEW Code,"50Hertz Transmission GmbH",bdew,,,"Berlin",10557,MSB@50hertz.com,
9903445000000,BDEW Code,"A&A Stromallianz GmbH",bdew,,,"Berlin",10119,netznutzung@stromallianz.de,
9911726000003,BDEW Code,"Abens-Donau Energie GmbH",bdew,,,"Mainburg",84048,liefwechsel-strom@esb.de,
9904813000002,BDEW Code,"abita Energie Otterberg GmbH",bdew,,,"Kaiserslautern",67655,christian.knoll@swk-kl.de,
9979340000007,BDEW Code,"ADLER Energie Service GmbH",bdew,,,"Berlin",10557,n.fietz@adler-energie.com,
9979160000005,BDEW Code,"Adolf Roth GmbH & Co. KG",bdew,,,"Gießen",35398,strom.bkv@roth-energie.de,
9903838000005,BDEW Code,"AggerEnergie GmbH",bdew,,,"Gummersbach",51643,marktpartner@aggerenergie.de,
9978235000007,BDEW Code,"Ahrtal-Werke GmbH",bdew,,,"Bad Neuenahr-Ahrweiler",53474,energielogistik@stadtwerke-hall.de,
9910562000003,BDEW Code,"AIR LIQUIDE Deutschland GmbH ",bdew,,,"Düsseldorf",40476,alexander.klehm@airliquide.com,
9985255000008,BDEW Code,"AKW Allgäuer Kraftwerke Beteiligungs- und Dienstleistungsgesellschaft mbH & Co. KG",bdew,,,"Sonthofen",87527,a.hummel@allgaeukraft.de,
9911742000003,BDEW Code,"Albstadtwerke GmbH",bdew,,,"Albstadt",72461,netznutzung@albstadtwerke.de,
9900219000000,BDEW Code,"Albwerk GmbH & Co. KG",bdew,,,"Geislingen an der Steige",73312,netznutzung@albwerk.de,
9982514000000,BDEW Code,"Allego GmbH",bdew,,,"Berlin",10243,energy@allego.eu,
9903842000009,BDEW Code,"Allgäuer Kraftwerke GmbH",bdew,,,"Sonthofen",87527,berger@allgaeukraft.de,
9985314000006,BDEW Code,"Allgäuer Überlandwerk Beteiligungs- und Dienstleistungsgesellschaft mbH & Co. KG",bdew,,,"Kempten (Allgäu)",87435,barbara.reiners@auew.de,
9904254000009,BDEW Code,"Allgäuer Überlandwerk GmbH",bdew,,,"Kempten (Allgäu)",87435,handel@auew.de,
9907387000003,BDEW Code,"AllgäuNetz GmbH & Co. KG",bdew,,,"Kempten",87435,netzvertrieb@allgaeunetz.com,https://www.allgaeunetz.com/download/2020_11_03_an_kontaktdatenblatt_vnb__msb.xlsx
9979014000002,BDEW Code,"Alliander Netz Heinsberg GmbH",bdew,,,"Heinsberg",52525,netzwirtschaft@alliander.de,
9978035000009,BDEW Code,"Allianz Stromversorgungs-GmbH",bdew,,,"München",80802,peter.beil@allianz.de,
9979117000008,BDEW Code,"Alpiq AG",bdew,,,"Olten",4601,Eiv.res@alpiq.com,
9978843000001,BDEW Code,"Alpiq Energie Deutschland GmbH",bdew,,,"Berlin",10117,felix.plaschek@alpiq.com,
9912093000007,BDEW Code,"Alterric Deutschland GmbH",bdew,,,"Aurich",26605,elvira.mueller@swb-gruppe.de,
9979278000004,BDEW Code,"AlzChem Trostberg GmbH",bdew,,,"Trostberg",83308,markus.schindlbeck@alzchem.com,
9911382000009,BDEW Code,"Ammer-Loisach Energie GmbH",bdew,,,"Oberau",82496,liefwechsel-strom@esb.de,
9984710000008,BDEW Code,"Amperecloud Energy Services GmbH",bdew,,,"Berlin",10178,bdew@ampere.cloud,
4045399000039,BDEW Code,"Amprion GmbH",bdew,,,"Dortmund",44263,bilanzkreisdaten@amprion.net,
9977920000009,BDEW Code,"Amrum-Offshore West GmbH",bdew,,,"Essen",45141,niklas.hennel@rwe.com,
