Code,CodeType,CompanyName,Source,ValidFrom,ValidTo,City,PostCode,Email,ContactSheetUrl
9900244000009,BDEW Code,"""Stadtwerke Gronau GmbH""",bdew,,,"Gronau",48599,netznutzung@stadtwerke-gronau.de,
9983577000003,BDEW Code,"""Stadtwerke Heide GmbH""",bdew,,,"Heide",25746,Thomas.Nowicki@stadtwerke-heide.de,
9900337000007,BDEW Code,"""Stadtwerke Kempen GmbH""",bdew,,,"Kempen",47906,b.basten@stadtwerke-kempen.de,
9904935000005,BDEW Code,"""Stadtwerke Prenzlau GmbH""",bdew,,,"Prenzlau",17291,info@stadtwerke-prenzlau.de,
9979399000008,BDEW Code,"#NAME?",bdew,,,"Hamburg",20097,h.kraemer@eha.net,
9906422000001,BDEW Code,"24/7 Energie & Kommunikation GmbH",bdew,,,"Heidenheim",89522,lieferant@24-7-online.de,https://www.kaiserenergie.de/images/download/fields/2017_12_20_24-7_Energie__Kommunikation_GmbH_Strom.xlsx
9910891000005,BDEW Code,"50Hertz Transmission GmbH",bdew,,,"Berlin",10557,MSB@50hertz.com,
9904813000002,BDEW Code,"abita Energie Otterberg GmbH",bdew,,,"Kaiserslautern",67655,christian.knoll@swk-kl.de,
9983305000001,BDEW Code,"acteno energy GmbH",bdew,,,"Heidelberg",69117,wolfgang.krauss@acteno.de,
9977988000009,BDEW Code,"Activis Energy GmbH & Co. KG",bdew,,,"Bamberg",96047,hunsaenger@activisenergy.com,
9979403000001,BDEW Code,"Aerzener Bastkunst Gebr. Cramer GmbH",bdew,,,"Aerzen",31855,aerzener.bastkunst@t-online.de,
9978235000007,BDEW Code,"Ahrtal-Werke GmbH",bdew,,,"Bad Neuenahr-Ahrweiler",53474,energielogistik@stadtwerke-hall.de,
9911742000003,BDEW Code,"Albstadtwerke GmbH",bdew,,,"Albstadt",72461,netznutzung@albstadtwerke.de,
9900219000000,BDEW Code,"Albwerk GmbH & Co. KG",bdew,,,"Geislingen an der Steige",73312,netznutzung@albwerk.de,
9978604000000,BDEW Code,"AllgäuMeter GmbH & Co. KG",bdew,,,"Kempten (Allgäu)",87435,ralf.maerz@auew.de,
9907387000003,BDEW Code,"AllgäuNetz GmbH & Co. KG",bdew,,,"Kempten",87435,netzvertrieb@allgaeunetz.com,https://www.allgaeunetz.com/download/2020_11_03_an_kontaktdatenblatt_vnb__msb.xlsx
9979014000002,BDEW Code,"Alliander Netz Heinsberg GmbH",bdew,,,"Heinsberg",52525,netzwirtschaft@alliander.de,
9907463000000,BDEW Code,"AlzChem Netz GmbH",bdew,,,"Trostberg",83308,markus.schindlbeck@alzchem.com,
4045399000039,BDEW Code,"Amprion GmbH",bdew,,,"Dortmund",44263,bilanzkreisdaten@amprion.net,
9979390000007,BDEW Code,"Aplus Energy GmbH",bdew,,,"Berlin",10405,hallo@ostrom.de,
9978283000009,BDEW Code,"apoll.on GmbH",bdew,,,"Berlin",10117,elias@schnellstrom.de,
9911098000004,BDEW Code,"AQUATECH Umwelt- und Energietechnik AG",bdew,,,"Regen",94209,info@aquatech.de,
9912113000002,BDEW Code,"ArcelorMittal Bremen GmbH",bdew,,,"Bremen",28237,stefan.witte@arcelormittal.com,
9978196000005,BDEW Code,"ArcelorMittal Eisenhüttenstadt GmbH",bdew,,,"Eisenhüttenstadt",15890,rolf.berger@arcelormittal.com,
9984212000001,BDEW Code,"Arverio Facility GmbH",bdew,,,"Essingen",73457,Thomas.Heidenreich@goahead-de.com,
9978952000009,BDEW Code,"ASCANETZ GmbH",bdew,,,"Aschersleben",6449,netznutzung@ascanetz.de,
9903807000002,BDEW Code,"Aschaffenburger Versorgungs-GmbH",bdew,,,"Aschaffenburg",63739,Lieferantenwechsel@stwab.de,
9981389000005,BDEW Code,"ASTRA Software GmbH",bdew,,,"Mannheim",68159,peter.aschbacher@astra-software.de,
9978480000000,BDEW Code,"Aurubis AG",bdew,,,"Hamburg",20539,T.Kopenhagen@aurubis.com,
9978751000002,BDEW Code,"Auxilius Services GmbH",bdew,,,"Köln",50670,alexander.kakuschke@auxilius.de,
9910603000003,BDEW Code,"Avacon Natur GmbH",bdew,,,"Sarstedt",31157,claudia.illmer@avacon-natur.de,https://uat.avacon-netz.de/content/dam/revu-global/avacon-netz/documents/Energie_anschliessen/Stromnetz/Netznutzungsvertrag/Anlage_b_Datenblatt_Strom_Avacon%20Netz%20GmbH_2019_12_01.xlsx
9978913000006,BDEW Code,"Avacon Netz GmbH",bdew,,,"Helmstedt",38350,vertragsmanagement@avacon.de,
9903165000009,BDEW Code,"AVU Aktiengesellschaft für Versorgungs-Unternehmen",bdew,,,"Gevelsberg",58285,schleusener@avu.de,
9905097000008,BDEW Code,"AVU Netz GmbH",bdew,,,"Gevelsberg",58285,jens.kattwinkel@avu-netz.de,
9905271000006,BDEW Code,"Bad Honnef Aktiengesellschaft",bdew,,,"Bad Honnef",53604,a.schuetz@bhag.de,
9980325000003,BDEW Code,"badenova Energie GmbH",bdew,,,"Freiburg",79108,bkm@badenova.de,
9978996000007,BDEW Code,"badenovaNETZE GmbH",bdew,,,"Freiburg",79108,lieferantenwechsel.bnnetze@energiexchange.de,
9978157000002,BDEW Code,"BASF Schwarzheide GmbH",bdew,,,"Schwarzheide",1987,energiewirtschaft.bsw@basf.com,
9900113000007,BDEW Code,"Bauer Netz GmbH & Co. KG",bdew,,,"Buchbach",84428,heidi.bayer@bauer-netz.de,
9979638000008,BDEW Code,"Bayernwerk Natur GmbH",bdew,,,"Unterschleißheim",85716,sebastian.boehm@bayernwerk.de,
9901068000001,BDEW Code,"Bayernwerk Netz GmbH",bdew,,,"Regensburg",93049,netzvertraege@bayernwerk.de,
9979424000006,BDEW Code,"BEG-Energietechnik GmbH",bdew,,,"Lahr",77933,info@beg-energietechnik.de,
9911925000002,BDEW Code,"Bender Smart Charging GmbH",bdew,,,"Berlin",10829,hep@ebee.berlin,
9979094000006,BDEW Code,"Berliner Verkehrsbetriebe (BVG)",bdew,,,"Berlin",10179,pechmann@emagis-energy.de,
9979094000006,BDEW Code,"Berliner Verkehrsbetriebe (BVG)",bdew,,,"Berlin",10179,pechmann@emagis-energy.de,
9906606000009,BDEW Code,"BEW Netze GmbH",bdew,,,"Wipperürth",51688,Thomas.Erbsloeher@bergische-energie.de,
9906146000006,BDEW Code,"Bielefelder Netz GmbH",bdew,,,"Bielefeld",33611,strombilanzierung@bielefelder-netz.de,
9907693000002,BDEW Code,"BIGGE ENERGIE GmbH & Co. KG",bdew,,,"Attendorn",57439,patrick.noebel@bigge-energie.de,
9910582000009,BDEW Code,"Blomberg Netz GmbH & Co. KG",bdew,,,"Blomberg",32825,Schellack@Blomberger-Versorgungsbetriebe.de,
9979450000004,BDEW Code,"BlueMetering GmbH",bdew,,,"München",81369,mako_msb@bluemetering.de,
9900091000004,BDEW Code,"Bocholter Energie- und Wasserversorgung GmbH",bdew,,,"Bocholt",46395,v.droege@bew-bocholt.de,
9979162000003,BDEW Code,"Bonn-Netz GmbH",bdew,,,"Bonn",53115,niels.knoff@bonn-netz.de,
9905885000004,BDEW Code,"Braunschweiger Netz GmbH",bdew,,,"Braunschweig",38106,bilanzkreismanagement@bs-netz.de,
9903224000007,BDEW Code,"Braunschweiger Versorgungs-Aktiengesellschaft & Co. KG",bdew,,,"Braunschweig",38106,netznutzungsmanagement@bs-energy.de,
9985427000000,BDEW Code,"Brilliant Metering GmbH",bdew,,,"Berlin",10245,msb@brilliant-metering.de,
9979438000000,BDEW Code,"Brouwer Estate GmbH",bdew,,,"Bad Salzuflen",32105,bbrouwer@brouwer.biz,
9911489000001,BDEW Code,"Brücken-Center Ansbach GmbH",bdew,,,"Ansbach",91522,mdl@bruecken-center.de,
9979451000003,BDEW Code,"BRUNATA Wärmemesser Hagen GmbH & Co. KG",bdew,,,"Hamburg",22143,mako_msb@bluemetering.de,
9979452000002,BDEW Code,"BRUNATA-METRONA GmbH",bdew,,," Hürth",50354,mako_msb@bluemetering.de,
9905709000007,BDEW Code,"BRUNATA-METRONA GmbH & Co. KG",bdew,,,"München",81379,mako_msb@bluemetering.de,
9983060000007,BDEW Code,"BTT Bauteam Tretzel GmbH",bdew,,,"Regensburg",93049,hans.marchl@bauteam-tretzel.de,
9979310000003,BDEW Code,"BUD Bau- und Dienstleistung GmbH",bdew,,,"Schleswig",24837,d.schmidt@budgmbh.de,
9900122000006,BDEW Code,"Butzbacher Netzbetrieb GmbH & Co. KG",bdew,,,"Butzbach",35510,netznutzung.bng@ovag-netz.de,
9978432000008,BDEW Code,"BYTE MEE Softwareentwicklung GmbH",bdew,,,"Syke",28857,jens.bohlmann@bytemee.de,
9906230000003,BDEW Code,"C. Ensinger GmbH & Co. KG",bdew,,,"Owen",73277,censinger@c-ensinger.de,
9907826000001,BDEW Code,"CCF Cassella Chemiepark Frankfurt GmbH",bdew,,,"Frankfurt am Main",60386,lw-netz@getec-grid.de,
9981752000004,BDEW Code,"Celle-Uelzen Netz GmbH",bdew,,,"Celle",29223,einspeisung@cunetz.de,
9912151000006,BDEW Code,"Christian Dicke Energieelektronik",bdew,,,"Kassel",34121,info@dicke-energieelektronik.de,
9978816000004,BDEW Code,"Christian Kiesel Photovoltaik",bdew,,,"Kaufungen",34260,caso.kiesel@gmx.de,
9984791000001,BDEW Code,"Christoph Prange",bdew,,,"Nidderau",61130,info@prange-elektrotechnik.de,
9904377000001,BDEW Code,"co.met GmbH",bdew,,,"Saarbrücken",66117,ms-mrv@co-met.info,
9904749000001,BDEW Code,"COUNT + CARE GmbH & Co. KG",bdew,,,"Mainz",55118,messstellenbetrieb@countandcare.de,
9984665000004,BDEW Code,"COUNTROL GmbH",bdew,,,"Heidelberg",69115,msb@countrol.de,
9907671000008,BDEW Code,"Covestro Brunsbüttel Energie GmbH",bdew,,,"Brunsbüttel",25541,michael.helm@covestro.com,
9911419000005,BDEW Code,"CPM Netz GmbH",bdew,,,"Marl",45772,kontakt-msb@evonik.com,
9904021000000,BDEW Code,"Cramer-Mühle GmbH & Co. KG",bdew,,,"Schweinfurt",97424,n.kohl@cramermuehle.de,
9911614000008,BDEW Code,"Creos Deutschland GmbH",bdew,,,"Homburg",66424,team-edm@creos-net.de,
9903216000007,BDEW Code,"Currenta GmbH & Co. OHG",bdew,,,"Leverkusen",51373,markus.plottka@currenta.de,
9985188000000,BDEW Code,"DB Energie GmbH",bdew,,,"Frankfurt am Main",60326,joachim.benatzky@deutschebahn.com,https://www.dbenergie.de/resource/blob/5071376/26896febcdf7a4828cacf2b4ab88b42d/MessStV-Kontaktdaten-data.xlsx
