Code,CodeType,CompanyName,Source,ValidFrom,ValidTo,City,PostCode,Email,ContactSheetUrl
9900244000009,BDEW Code,"""Stadtwerke Gronau GmbH""",bdew,,,"Gronau",48599,netznutzung@stadtwerke-gronau.de,
9983577000003,BDEW Code,"""Stadtwerke Heide GmbH""",bdew,,,"Heide",25746,Thomas.Nowicki@stadtwerke-heide.de,
9900337000007,BDEW Code,"""Stadtwerke Kempen GmbH""",bdew,,,"Kempen",47906,b.basten@stadtwerke-kempen.de,
9904935000005,BDEW Code,"""Stadtwerke Prenzlau GmbH""",bdew,,,"Prenzlau",17291,info@stadtwerke-prenzlau.de,
9910891000005,BDEW Code,"50Hertz Transmission GmbH",bdew,,,"Berlin",10557,MSB@50hertz.com,
9904813000002,BDEW Code,"abita Energie Otterberg GmbH",bdew,,,"Kaiserslautern",67655,christian.knoll@swk-kl.de,
9978235000007,BDEW Code,"Ahrtal-Werke GmbH",bdew,,,"Bad Neuenahr-Ahrweiler",53474,energielogistik@stadtwerke-hall.de,
9907631000006,BDEW Code,"Aktien-Gesellschaft der Dillinger Hüttenwerke (Société Anonyme des Forges et Aciéres de Dilling)",bdew,,,"Dillingen",66763,dirk.brandau@stahl-holding-saar.de,
9911742000003,BDEW Code,"Albstadtwerke GmbH",bdew,,,"Albstadt",72461,netznutzung@albstadtwerke.de,
9900219000000,BDEW Code,"Albwerk GmbH & Co. KG",bdew,,,"Geislingen an der Steige",73312,netznutzung@albwerk.de,
9907387000003,BDEW Code,"AllgäuNetz GmbH & Co. KG",bdew,,,"Kempten",87435,netzvertrieb@allgaeunetz.com,https://www.allgaeunetz.com/download/2020_11_03_an_kontaktdatenblatt_vnb__msb.xlsx
9979014000002,BDEW Code,"Alliander Netz Heinsberg GmbH",bdew,,,"Heinsberg",52525,netzwirtschaft@alliander.de,
9907463000000,BDEW Code,"AlzChem Netz GmbH",bdew,,,"Trostberg",83308,markus.schindlbeck@alzchem.com,
9907830000005,BDEW Code,"Amprio GmbH",bdew,,,"Neckarsulm",74172,roland.preisler@rheinmetall.com,
4045399000039,BDEW Code,"Amprion GmbH",bdew,,,"Dortmund",44263,bilanzkreisdaten@amprion.net,
9978952000009,BDEW Code,"ASCANETZ GmbH",bdew,,,"Aschersleben",6449,netznutzung@ascanetz.de,
9903807000002,BDEW Code,"Aschaffenburger Versorgungs-GmbH",bdew,,,"Aschaffenburg",63739,Lieferantenwechsel@stwab.de,
9978913000006,BDEW Code,"Avacon Netz GmbH",bdew,,,"Helmstedt",38350,vertragsmanagement@avacon.de,
9905097000008,BDEW Code,"AVU Netz GmbH",bdew,,,"Gevelsberg",58285,jens.kattwinkel@avu-netz.de,
9905271000006,BDEW Code,"Bad Honnef Aktiengesellschaft",bdew,,,"Bad Honnef",53604,a.schuetz@bhag.de,
9978996000007,BDEW Code,"badenovaNETZE GmbH",bdew,,,"Freiburg",79108,lieferantenwechsel.bnnetze@energiexchange.de,
9978157000002,BDEW Code,"BASF Schwarzheide GmbH",bdew,,,"Schwarzheide",1987,energiewirtschaft.bsw@basf.com,
9900113000007,BDEW Code,"Bauer Netz GmbH & Co. KG",bdew,,,"Buchbach",84428,heidi.bayer@bauer-netz.de,
9901068000001,BDEW Code,"Bayernwerk Netz GmbH",bdew,,,"Regensburg",93049,netzvertraege@bayernwerk.de,
9906606000009,BDEW Code,"BEW Netze GmbH",bdew,,,"Wipperürth",51688,Thomas.Erbsloeher@bergische-energie.de,
9906146000006,BDEW Code,"Bielefelder Netz GmbH",bdew,,,"Bielefeld",33611,strombilanzierung@bielefelder-netz.de,
9907693000002,BDEW Code,"BIGGE ENERGIE GmbH & Co. KG",bdew,,,"Attendorn",57439,patrick.noebel@bigge-energie.de,
9910582000009,BDEW Code,"Blomberg Netz GmbH & Co. KG",bdew,,,"Blomberg",32825,Schellack@Blomberger-Versorgungsbetriebe.de,
9900091000004,BDEW Code,"Bocholter Energie- und Wasserversorgung GmbH",bdew,,,"Bocholt",46395,v.droege@bew-bocholt.de,
9979162000003,BDEW Code,"Bonn-Netz GmbH",bdew,,,"Bonn",53115,niels.knoff@bonn-netz.de,
9905885000004,BDEW Code,"Braunschweiger Netz GmbH",bdew,,,"Braunschweig",38106,bilanzkreismanagement@bs-netz.de,
9911489000001,BDEW Code,"Brücken-Center Ansbach GmbH",bdew,,,"Ansbach",91522,mdl@bruecken-center.de,
9983060000007,BDEW Code,"BTT Bauteam Tretzel GmbH",bdew,,,"Regensburg",93049,hans.marchl@bauteam-tretzel.de,
9900122000006,BDEW Code,"Butzbacher Netzbetrieb GmbH & Co. KG",bdew,,,"Butzbach",35510,netznutzung.bng@ovag-netz.de,
9906230000003,BDEW Code,"C. Ensinger GmbH & Co. KG",bdew,,,"Owen",73277,censinger@c-ensinger.de,
9907826000001,BDEW Code,"CCF Cassella Chemiepark Frankfurt GmbH",bdew,,,"Frankfurt am Main",60386,lw-netz@getec-grid.de,
9981752000004,BDEW Code,"Celle-Uelzen Netz GmbH",bdew,,,"Celle",29223,einspeisung@cunetz.de,
9907671000008,BDEW Code,"Covestro Brunsbüttel Energie GmbH",bdew,,,"Brunsbüttel",25541,michael.helm@covestro.com,
9911419000005,BDEW Code,"CPM Netz GmbH",bdew,,,"Marl",45772,kontakt-msb@evonik.com,
9904021000000,BDEW Code,"Cramer-Mühle GmbH & Co. KG",bdew,,,"Schweinfurt",97424,n.kohl@cramermuehle.de,
9911614000008,BDEW Code,"Creos Deutschland GmbH",bdew,,,"Homburg",66424,team-edm@creos-net.de,
9985188000000,BDEW Code,"DB Energie GmbH",bdew,,,"Frankfurt am Main",60326,joachim.benatzky@deutschebahn.com,https://www.dbenergie.de/resource/blob/5071376/26896febcdf7a4828cacf2b4ab88b42d/MessStV-Kontaktdaten-data.xlsx
9983474000007,BDEW Code,"decarbon1ze GmbH",bdew,,,"Berlin",10829,marie-carole.girbal@decarbon1ze.com,
9900796000002,BDEW Code,"Dessauer Stromversorgung GmbH",bdew,,,"Dessau",6844,nhoyer@dvv-dessau.de,
9904317000003,BDEW Code,"Donau-Stadtwerke Dillingen-Lauingen",bdew,,,"Dillingen",89407,m.lehnert@dsdl.de,
9910938000009,BDEW Code,"Dortmunder Netz GmbH",bdew,,,"Dortmund",44135,netznutzungsservice@do-netz.de,
9979071000003,BDEW Code,"e-netz Südhessen AG",bdew,,,"Darmstadt",64293,patrick.zott@e-netz-suedhessen.de,
9985312000008,BDEW Code,"e-regio Netz GmbH",bdew,,,"Kall",53925,pascal.koehn@e-regio.de,
9907618000003,BDEW Code,"e-shelter power grid GmbH",bdew,,,"Hattersheim am Main",65795,thomas.georgi@e-shelter.com,
9900196000008,BDEW Code,"E-Werk Buchauer",bdew,,,"Frasdorf",83112,buchauer@eg-wolkersdorf.de,
9907252000005,BDEW Code,"E-Werk Gerolsheim",bdew,,,"Frankenthal",67227,jendrik.raethke@stw-frankenthal.de,
9978248000002,BDEW Code,"E-Werk Max Peißker",bdew,,,"Eichicht",7338,kb@max-peissker.de,
9903986000006,BDEW Code,"E-Werk Meckenheim/Pfalz",bdew,,,"Meckenheim",67149,vanessa_schmidt@swneustadt.de,
9907134000008,BDEW Code,"E-Werk Partenstein",bdew,,,"Partenstein",97846,ndl-par@cu-rz.de,
9905995000001,BDEW Code,"E-Werk Rohrdorf Josef Haimmerer",bdew,,,"Rohrdorf",83101,evu-haimmerer@gmx.de,
9903527000001,BDEW Code,"e-werk Sachsenwald GmbH",bdew,,,"Reinbek",21465,philipp.manthey@ewerk-sachsenwald.de,
9900668000007,BDEW Code,"E-Werk Wanfried von Scharfenberg GmbH & Co KG",bdew,,,"Wanfried",37281,lisa.jessl@ewwanfried.de,
9903767000001,BDEW Code,"E-Werke Haniel Haimhausen GmbH & Co. KG",bdew,,,"Haimhausen",85778,r.camp@e-werke-haniel.de,
9904768000008,BDEW Code,"E.DIS Netz GmbH",bdew,,,"Fürstenwalde/Spree",15517,Netznutzung@e-dis.de,
9907276000007,BDEW Code,"e.wa riss Netze GmbH",bdew,,,"Biberach an der Riß",88400,o.kutzner@swbc.de,
9900330000004,BDEW Code,"EAM Netz GmbH",bdew,,,"Kassel",34131,marktpartner@eam-netz.de,
9906382000000,BDEW Code,"EGC Energie- und Gebäudetechnik Control GmbH & Co. KG",bdew,,,"Düsseldorf",40547,strom@egc-fm.de,
9978546000001,BDEW Code,"EGC Infrastruktur und Netz GmbH",bdew,,,"Aachen",52068,strom@egc-fm.de,
9904310000000,BDEW Code,"EGF EnergieGesellschaft Frankenberg mbH",bdew,,,"Frankenberg (Eder)",35066,vertrieb@egf-frankenberg.de,
9905151000001,BDEW Code,"EGT Energie GmbH",bdew,,,"Triberg im Schwarzwald",78098,messstellenbetrieb@egt.de,
9900163000007,BDEW Code,"EHINGER ENERGIE GmbH & Co. KG",bdew,,,"Ehingen",89584,clearing@ehinger-energie.de,
9900147000007,BDEW Code,"Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH",bdew,,,"Duderstadt",37115,bock@ewb-duderstadt.de,
9900221000006,BDEW Code,"ELE Verteilnetz GmbH",bdew,,,"Gelsenkirchen",45879,florian.sachs@evng.de,
9904106000008,BDEW Code,"Elektra-Genossenschaft Effeltrich eG",bdew,,,"Effeltrich",91090,info@elektra-effeltrich.de,
9903968000008,BDEW Code,"Elektra-Genossenschaft Pinzberg eG",bdew,,,"Pinzberg",91361,info@elektra-pinzberg.de,
9910170000007,BDEW Code,"Elektrizitäts - Genossenschaft Tacherting-Feichten eG",bdew,,,"Tacherting",83342,feichtinger@egtf.de,
9904482000003,BDEW Code,"Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen eG",bdew,,,"Feldkirchen-Westerham",83620,info@ewg-vagen.de,
9906849000006,BDEW Code,"Elektrizitäts-Genossenschaft Rettenberg eG",bdew,,,"Rettenberg",87549,info@eg-rettenberg.de,
9910515000000,BDEW Code,"Elektrizitäts-Genossenschaft Röthenbach eG",bdew,,,"Röthenbach",88167,schiessl@eg-roethenbach.de,
9900596000004,BDEW Code,"Elektrizitäts-Genossenschaft Schlachters e.G.",bdew,,,"Sigmarszell",88138,dieter.matheis@eg-schlachters.de,
9900713000001,BDEW Code,"Elektrizitäts-Genossenschaft Schonstett eG",bdew,,,"Schonstett",83137,eder@eg-schonstett.de,
9906938000008,BDEW Code,"Elektrizitäts-Versorgungs-Genossenschaft Perlesreut eG",bdew,,,"Perlesreut",94157,info@evg-perlesreut.de,
